,common_name,description
1,alki point,"As with the rest of West Seattle, Alki has a relaxed feeling, and you can tell the residents are ultra-proud of their ‘hood. Visitors covet the beachfront condos and the place is packed during the summer for beach volleyball tournaments and picnics. In the off-season, locals claim their neighborhood once again."
2,arbor heights,
3,atlantic,
4,ballard,"Because of its wide variety of residents, Ballard has a very unique personality. You’ve got the let’s-go-out-for-happy-hour crowd, the early-morning-market crowd, the trendy-shop-and-salon crowd, and the late-night-debauchery crowd. You can see it all in one spot–Ballard Avenue. This street was once the commercial district, but now houses about a gazillion restaurants, shops, bars, and art spaces. On one block, for instance, you can find the Smoke Shop (a complete dive bar frequented by fishermen), a self storage facility, a few of the trendiest bars in Ballard (Ocho, BalMar, and Volterra, for example), an architecture firm, and a music venue. Expand this example to Ballard as a whole, and you’ve got a pretty good idea of what it’s like there."
5,beacon hill,"Depending upon where you are on Beacon Hill, you’ll get a different feel for the neighborhood. The busiest section is on the north end, especially where Beacon Hill meets the Rainier Valley. Up at the top of the hill, things settle down into a nice residential area with a small business district. The farther south you go, the more secluded and quiet things get."
6,belltown,"Depending upon where you are on Beacon Hill, you’ll get a different feel for the neighborhood. The busiest section is on the north end, especially where Beacon Hill meets the Rainier Valley. Up at the top of the hill, things settle down into a nice residential area with a small business district. The farther south you go, the more secluded and quiet things get."
7,bitter lake,
8,brighton,
9,broadview,"Broadview is decidely residential. While Greenwood Ave is packed with apartments, condos, townhomes and a few small commercial areas, everything west of there is a quiet neighborhood filled with single-family homes.
Most homes were built betwenn 1940-1980, so it is one of the newer Seattle neighborhoods. As you might guess, homes in the flatter area to the east are modest and affordable. As you move down the slope towards the Sound, stunning views give way to fancier and pricier homes. There are even some gigantic estates tucked back in the forested areas."
10,bryant,"Bryant has a well-kept-secret sort of feel. It’s mainly residential and full of some extremely charming houses, but there are a few areas around the University Village and along 35th Avenue that contain businesses. This is a great place to be if you enjoy the surrounding neighborhoods but like to be in a quieter location."
11,capitol hill,"Capitol Hill is funky and fast-paced, with an endless number of cool blocks to explore and, unfortunately, a limited number of parking spaces. During the day, markets, boutiques, and salons are a big draw. Nightlife is hopping with clubs, bars, and music venues, and you’ll often find coffee shops that moonlight as cocktail lounges. Individuality and fashion statements are encouraged, and there always seems to be some sort of block party or community forum to encourage residents and visitors to mix and mingle."
12,cascade,
13,central district,"The location of the Central District—well, it’s very central, you see. It doesn’t have a big business district of its own, but it borders Capitol Hill, First Hill, and the Madison Valley, all of which are hopping with activity.
The community is very proud of its diversity; a festival is held yearly to “strengthen community pride, integrity, and spirituality while promoting cultural diversity throughout the Central District.”. Other organizations, like the Central District Forum for Arts and Ideas, devote their time to promoting the arts and culture of the African American community."
14,columbia city,"Columbia City has the highest Walk Score of any neighborhood south of downtown, including the ever-popular “Junction” in West Seattle. Translation: there’s a lot to do here, and it’s all concentrated in one area. The people here love to support the local businesses. For example, I talked to a guy working at a little boutique who not only lived in the neighborhood but also bartended at the pub next door. In fact, he may have just been filling in at the shop as a favor to the owner. The point is: people get along harmoniously here in Columbia City."
15,crown hill,"Crown Hill is a little oasis of calm between the busier Ballard and Greenwood. The feel among the residences is very small-town and peaceful, though the business district is quite active. It’s a very involved community, too, with constant opportunities to bond with the neighbors, whether it’s a community garage sale night, a park clean-up work party, or an Annual Night Out for crime prevention. Every year, residents in Olympic Manor team up to create a beautiful holiday light display that is a popular sightseeing opportunity for people all over the city."
16,delridge,
17,denny blaine,"Denny-Blaine is a haven for those who want a quiet, well-kept neighborhood that’s still relatively close to the city center. It’s strictly residential, so you won’t find a lively business district or many day visitors here. What you will find are stunning houses along meandering streets that end in cul-de-sacs."
18,downtown seattle,"To say that the vibe here is “lively” seems like an understatement. Dynamic? That’s closer. Exuberant? Better still. Whatever word you choose to describe it, Downtown is the place to be if you want nonstop activity, love being surrounded by interesting people, and want to see something new every day. Obviously, there are major events going on here regularly, but it’s just as easy to find your own little hideaway that only a resident would know about."
19,dunlap,
20,fairmount park,
21,fauntleroy,"Considering its relative isolation from the busier parts of Seattle, it’s no surprise that the vibe in Fauntleroy is mellow. The place is quiet and serene—how could it not be with such great views of the nearby islands and the Olympic Mountains? But there is one thing that people get fired up about around here: environmentalism. Residents work tirelessly to protect the natural habitats along the waterfront and Fauntleroy Creek. They are always conscious of the way the ferry terminal and human activity affect the area’s parks and wildlife. So if there’s one reason why they like to keep it quiet around here, it’s probably so that the environment will remain beautiful for future generations."
22,first hill,"In keeping with history, the attitude of this area continues to be “stay close to the action!” It’s an easy bus ride or walk down to the business district, and an equally short distance to the also-bustling Capitol Hill. It has its own little section of businesses along Madison Avenue that provide plenty of opportunities for dining, shopping, and people-watching."
23,fremont,"Come to Fremont if you feel the need for more excitement in your life. One glance at the neighborhood’s event calendar and you’ll see there is always a party here. The main business district has a huge variety of different eateries, a brewery, a chocolate factory, and access to one of the best sections of the Burke Gilman – right along the Ship Canal. Not to mention non-stop action at the Fremont Draw Bridge. There is a pretty decent hillside as you go up to 45th – so you can get a good calf workout as you take a deeper dive into the neighborhood to check out the gorgeous homes and off-the-beaten path businesses."
24,gatewood,
25,genesee,
26,green lake,"The general attitude in Green Lake seems to be Get Off Your Lazy Bum, Son! The people here love to get outside, whether it’s just to walk to the library or grab dinner, or head down to Green Lake park for a run. There isn’t a huge nightlife scene here, although you could take country line dancing lessons at The Little Red Hen or catch a live band on Friday nights at the Latona Pub.
In general, the people are friendly and have an early-to-bed, early-to-rise lifestyle."
27,greenwood,"Today, Greenwood’s business district remains as successful as it was decades ago. The area around 85th Street and Greenwood Avenue is booming with coffeehouses, antique stores, bars, and eateries, along with a community theater. The community hosts many events that appeal to families and urbanites alike. Things tend to quiet down at night, which makes this the perfect place to live if you like to be on the move during the day and a homebody when the sun goes down."
28,haller lake,"The atmosphere in Haller Lake varies widely depending on where you are in the neighborhood. On its edges, near Aurora Avenue to the west and Northgate Way to the south, are the business districts (and the traffic we mentioned before). As you head towards the center, the activity fades and quiet residential streets take over. With larger plots of land than other places in the city, residents can spread out a little and enjoy the quiet."
29,holly park,
30,lake city,"There’s something for everyone in Lake City. The area’s main thoroughfare, Lake City Way, bisects the neighborhood and is the best place to go if you want a bustling atmosphere. Newly constructed condos and businesses mingle with the retro establishments from years gone by. Farther out, the feel is more residential and quiet. Even though it is one of the most populous and spread out neighborhoods in the city, the community is close and knows how to work together to solve issues."
31,leschi,"Perched atop Lake Washington with fantastic views, a harbor and a sweet business district, Leschi has a very casual, laidback feeling. Close to downtown, the scenic drive out to Leschi puts you in a relaxed state of mind – far from the frenzy of the city."
32,madison park,"It’s hard not to feel a little fancier when you’re hanging out in Madison Park. The houses are beautiful, the shops and restaurants are classy and unique, and it’s far enough away from the city to make it seem like you’ve really gotten away on vacation. It’s also clear that the community is a supportive one; there are always events going on to honor local artists or give a nod to new businesses that have set up shop."
33,madrona,"Madrona is the place to be if you want to live in a beautiful, quiet neighborhood yet still be within a stone’s throw of downtown. OK, maybe not a literal stone’s throw, but the residents do enjoy one of the lowest average commute times in the city, at 22 minutes. Wholesome family events are easy to find; movie nights, cultural parades, outdoor concerts, knitting groups, and wine tasting to name a few. This is a true community, with everyone working together to make it the best place to be. It’s no wonder they claim to be “Seattle’s best kept secret!”"
34,magnolia,"Because it’s on a peninsula, Magnolia has a secluded feel. Looking at the neighborhood from outside, you might think there isn’t much more there than houses and a marina. Wrong! The area around McGraw Street and 34th Avenue W is a little pocket of activity, with a Walk Score rivaling that of Fremont or Greenlake. A glance at the neighborhood’s blog shows that there’s always something going on here, be it a farmer’s market, the yearly SummerFest celebration, a free nature walk at Discovery Park, or a spur-of-the-moment community outreach event. Not to be left out is Fisherman’s Terminal, located right on Salmon Bay near the 15th Street Bridge. Here, you can walk around on the docks and admire the real-life fishing boats, then stop in at the market to buy the seafood caught that very day. Though not as famous as the Pike Place Market, rumor has it that this is an even better way to experience the local fishing culture."
35,mann,
